DO,DO-20-001728,29/02/2020,DIY03,PT. DUTA INTRA YASA (YOGYA),,,,,BRNOBH004,,OB HERBAL B30,240,,DL0442/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNSPG002,,SRONGPAS R10,10000,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNOBH003,,OB HERBAL B100,144,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNOBH001,,OB HERBAL B60,720,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNOBH002,,OB HERBAL D10,300,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNOBC001,,OB HERBAL PERMEN HERBAL RASA MINT S5,270,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNOBJ001,,OB HERBAL JUNIOR B60,240,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNANJ002,,ANTANGIN JUNIOR SD5,3000,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNANS002,,ANTANGIN JRG + MADU ST24,480,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNANS003,,ANTANGIN JRG + MADU SD12,72000,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNANM001,,ANTANGIN MINT SD12,10800,,DL0443/MPM/II/2020
